cycle_id,sampled_at,average_weight
20971,2022-10-12,2.12
20971,2022-11-09,13.69
20971,2022-10-30,7.5
18760,2022-07-01,5.2
18760,2022-07-14,8.9
18760,2022-07-29,11.9
15767,2022-05-24,2.9
15767,2022-05-31,3.9
15767,2022-06-07,5.1
18142,2023-02-08,0.59
18142,2023-02-08,0.59
18142,2023-02-08,0.59
18142,2023-02-15,1.83
18142,2023-02-21,3.84
18142,2023-02-22,3.84
18142,2023-03-01,5.99
18142,2023-03-08,7.9
18142,2023-03-15,9.7
18142,2023-03-22,10.4
18142,2023-04-05,12.91
18142,2023-03-29,12.4
18653,2022-10-08,3.11
18653,2022-10-15,4.91
18653,2022-10-22,7.06
18653,2022-10-29,9.9
18653,2022-10-31,9.83
18653,2022-11-07,13.03
18653,2022-11-10,13.33
18653,2022-11-17,16.19
18653,2022-11-23,19.98
18653,2022-11-24,19.23
18653,2022-12-01,22.7
18653,2022-12-08,26.45
18653,2022-12-14,30.0
18912,2022-10-12,0.3
18912,2022-10-19,0.57
18912,2022-10-26,1.46
18912,2022-11-02,2.26
18912,2022-11-02,2.26
18912,2022-11-16,4.96
18912,2022-11-23,7.1
18912,2022-12-07,11.03
18912,2022-11-30,8.37
18912,2022-12-14,12.52
18912,2022-12-21,15.39
18912,2022-12-28,17.4
18912,2023-01-04,18.0
18912,2023-01-11,20.7
19518,2022-09-19,6.0
18616,2022-09-25,2.4
18616,2022-10-03,3.8
18616,2022-10-09,6.3
20841,2023-02-15,0.71
20841,2023-02-21,2.39
20841,2023-02-22,2.39
20841,2023-03-01,4.34
20841,2023-03-08,5.05
20841,2023-03-15,7.5
20841,2023-03-22,8.3
20841,2023-04-12,15.17
20841,2023-04-05,11.4
20841,2023-03-29,9.24
20841,2023-04-19,18.67
20841,2023-04-26,20.08
20841,2023-05-03,23.52
20841,2023-05-10,25.89
20841,2023-05-17,27.28
20841,2023-05-24,28.86
20841,2023-05-31,29.72
20841,2023-06-05,32.58
20841,2023-06-07,32.58
20841,2023-06-14,31.75
20841,2023-06-20,34.73
16164,2022-06-24,2.77
16164,2022-07-01,4.06
16164,2022-07-08,4.52
16164,2022-07-15,7.35
19555,2022-07-07,4.04
19555,2022-07-13,4.78
19555,2022-07-20,6.68
19555,2022-07-27,9.23
19555,2022-08-04,11.76
19555,2022-07-28,9.62
19555,2022-08-08,12.93
19555,2022-08-17,17.53
19555,2022-08-10,14.49
19555,2022-08-23,20.4
19555,2022-08-30,22.56
20976,2022-06-22,3.29
20976,2022-06-29,4.77
20976,2022-07-06,5.5
20976,2022-07-13,5.7
19069,2022-12-03,4.08
19069,2022-12-11,6.9
19069,2022-12-18,10.97
20600,2022-06-19,4.33
20600,2022-06-26,6.0
20600,2022-07-03,7.61
15213,2022-07-11,5.8
15213,2022-07-21,9.3
15213,2022-07-21,9.3
15213,2022-07-31,13.2
15213,2022-08-10,16.6
15213,2022-08-20,20.51
17740,2020-08-01,15.79
19653,2021-12-02,3.07
19653,2021-12-09,4.58
19653,2021-12-16,7.55
19048,2022-10-26,0.37
19048,2022-11-02,0.94
19048,2022-11-09,2.9
19048,2022-11-16,3.4
19048,2022-11-16,3.4
19048,2022-11-23,5.64
19048,2022-12-07,7.98
19048,2022-11-30,6.39
19048,2022-12-14,10.57
19048,2022-12-21,11.25
19048,2022-12-21,11.25
